AlphabetSize,TextSize,PatternSize,UniversalSymbolsAmount,Comparisons,TimeNs
2,100000,400,3,1366311,51101434
2,100000,400,4,1698350,50176887
2,100000,500,0,343936,10097251
2,100000,500,1,678790,20021165
2,100000,500,2,1039423,38132777
2,100000,500,3,1361849,41997463
2,100000,500,4,1727552,52942192
2,100000,600,0,339343,10274805
2,100000,600,1,689306,20599779
2,100000,600,2,1036108,30815322
2,100000,600,3,1361511,41941051
2,100000,600,4,1722760,53911485
2,100000,700,0,345890,10243721
2,100000,700,1,682927,19356508
2,100000,700,2,1018862,28976914
2,100000,700,3,1373979,40229194
2,100000,700,4,1707693,50905375
2,100000,800,0,351310,11299653
2,100000,800,1,691131,20303187
2,100000,800,2,1040400,30118403
2,100000,800,3,1380323,40026277
2,100000,800,4,1696774,50510690
2,100000,900,0,352369,10253508
2,100000,900,1,695130,20505858
2,100000,900,2,1024652,30353620
2,100000,900,3,1384961,40658452
2,100000,900,4,1715482,51138869
2,100000,1000,0,343223,9766681
2,100000,1000,1,686880,19308686
2,100000,1000,2,1036402,30916872
2,100000,1000,3,1364087,39621184
2,100000,1000,4,1674444,71674330
2,100000,1100,0,349276,9744240
2,100000,1100,1,684029,19248656
2,100000,1100,2,1035787,32633218
2,100000,1100,3,1387976,39222982
2,100000,1100,4,1725856,60742281
2,100000,1200,0,345439,10971352
2,100000,1200,1,684912,20268321
2,100000,1200,2,1025602,44790210
2,100000,1200,3,1326527,55053783
2,100000,1200,4,1699800,53679046
2,100000,1300,0,343737,10080978
2,100000,1300,1,677480,22241938
2,100000,1300,2,978231,28720519
2,100000,1300,3,1327424,39514184
2,100000,1300,4,1579126,43430367
2,100000,1400,0,353533,10823919
2,100000,1400,1,693589,21680786
2,100000,1400,2,1044700,32630666
2,100000,1400,3,1371535,42195717
2,100000,1400,4,1710539,50723924
2,100000,1500,0,354425,10234776
2,100000,1500,1,690001,22149766
2,100000,1500,2,1030415,32598178
2,100000,1500,3,1378853,41462236
2,100000,1500,4,1735343,51868846
2,100000,1600,0,343534,10278852
2,100000,1600,1,683197,20184534
2,100000,1600,2,1039416,30677291
2,100000,1600,3,1353122,40689549
2,100000,1600,4,1697377,52946228
2,100000,1700,0,341482,13292294
2,100000,1700,1,677659,21572109
2,100000,1700,2,1033228,34317711
2,100000,1700,3,1356760,41975362
2,100000,1700,4,1689838,59491648
2,100000,1800,0,354397,10708863
2,100000,1800,1,701955,20703063
2,100000,1800,2,1030585,34130014
2,100000,1800,3,1385078,47546648
2,100000,1800,4,1704767,54615947
2,100000,1900,0,354264,11384136
2,100000,1900,1,689622,21898495
2,100000,1900,2,1033057,35609270
2,100000,1900,3,1382383,45284637
2,100000,1900,4,1730802,51553582
2,100000,2000,0,342347,10176524
2,100000,2000,1,682032,21685693
2,100000,2000,2,1033714,34004867
2,100000,2000,3,1367262,42138553
2,100000,2000,4,1704728,51447178
2,100000,2100,0,343784,11478931
2,100000,2100,1,683823,21492976
2,100000,2100,2,1041415,31060476
2,100000,2100,3,1333095,45772996
2,100000,2100,4,1709969,55305625
2,100000,2200,0,350103,12264562
2,100000,2200,1,685892,21664120
2,100000,2200,2,1026356,29829596
2,100000,2200,3,1359668,39258940
2,100000,2200,4,1737611,50087152
2,100000,2300,0,356320,10272996
2,100000,2300,1,700005,19969169
2,100000,2300,2,1042763,30442453
2,100000,2300,3,1385472,39940979
2,100000,2300,4,1717884,49609504
2,100000,2400,0,340569,9992640
2,100000,2400,1,675762,19904669
2,100000,2400,2,1027162,29918279
2,100000,2400,3,1364296,39456986
2,100000,2400,4,1710423,57407162
2,100000,2500,0,341998,12155635
2,100000,2500,1,676868,20175531
2,100000,2500,2,1026797,32085287
2,100000,2500,3,1376666,40242484
2,100000,2500,4,1704851,50149222
2,100000,2600,0,354069,10340103
2,100000,2600,1,700678,21134533
2,100000,2600,2,1028959,30993875
2,100000,2600,3,1377180,42898071
2,100000,2600,4,1734784,54369028
2,100000,2700,0,351837,10335535
2,100000,2700,1,701558,20556772
2,100000,2700,2,1049007,30357883
2,100000,2700,3,1372015,40578618
2,100000,2700,4,1719205,51948547
2,100000,2800,0,355841,11179898
2,100000,2800,1,701939,31348595
2,100000,2800,2,1030411,30113503
2,100000,2800,3,1381142,39991367
2,100000,2800,4,1714229,50478056
2,100000,2900,0,357947,10875307
2,100000,2900,1,707272,20970131
2,100000,2900,2,1043753,30758325
2,100000,2900,3,1380402,41894330
2,100000,2900,4,1736213,51368600
2,100000,3000,0,357808,10486755
2,100000,3000,1,703461,20993448
2,100000,3000,2,1041579,31295557
2,100000,3000,3,1385160,41313033
2,100000,3000,4,1722386,51117633
4,100000,100,0,325151,8355042
4,100000,100,1,649683,16680315
4,100000,100,2,975239,24841734
4,100000,100,3,1298365,33436500
4,100000,100,4,1625169,41612415
4,100000,200,0,325522,8294629
4,100000,200,1,650737,17344829
4,100000,200,2,975128,24251341
4,100000,200,3,1298800,32870389
4,100000,200,4,1625245,44817787
4,100000,300,0,325911,8651504
4,100000,300,1,650724,17132695
4,100000,300,2,975637,25119377
4,100000,300,3,1299272,33372541
4,100000,300,4,1625950,41950085
4,100000,400,0,326067,8397464
4,100000,400,1,650922,16750056
4,100000,400,2,975869,25576714
4,100000,400,3,1299019,33352046
4,100000,400,4,1625442,41581064
4,100000,500,0,326378,8349980
4,100000,500,1,651595,16665526
4,100000,500,2,976068,24914779
4,100000,500,3,1299496,33928046
4,100000,500,4,1625414,42049248
4,100000,600,0,325464,8479557
4,100000,600,1,650436,17047114
4,100000,600,2,973521,24929637
4,100000,600,3,1297365,33777160
4,100000,600,4,1624622,41483456
4,100000,700,0,327281,8312019
4,100000,700,1,650710,16495927
4,100000,700,2,977477,25379820
4,100000,700,3,1301768,33451322
4,100000,700,4,1624906,41899338
4,100000,800,0,327620,8412930
4,100000,800,1,652532,16716695
4,100000,800,2,977110,24997572
4,100000,800,3,1299705,33193960
4,100000,800,4,1626215,42925238
4,100000,900,0,327606,10684961
4,100000,900,1,652507,19064214
4,100000,900,2,977711,26727758
4,100000,900,3,1301879,33859614
4,100000,900,4,1626096,41670959
4,100000,1000,0,328012,8776480
4,100000,1000,1,651557,16655943
4,100000,1000,2,977911,26570220
4,100000,1000,3,1301405,34798855
4,100000,1000,4,1626347,51636425
4,100000,1100,0,327774,10443549
4,100000,1100,1,651416,20897134
4,100000,1100,2,977817,30193441
4,100000,1100,3,1302865,46291305
4,100000,1100,4,1627466,46317447
4,100000,1200,0,328611,8792670
4,100000,1200,1,652827,18370971
4,100000,1200,2,976700,25593497
4,100000,1200,3,1301375,33357601
4,100000,1200,4,1625947,42153343
4,100000,1300,0,328655,10256090
4,100000,1300,1,652289,19450593
4,100000,1300,2,977077,26228551
4,100000,1300,3,1302754,39320789
4,100000,1300,4,1627075,42790304
4,100000,1400,0,327617,9075098
4,100000,1400,1,652214,16877307
4,100000,1400,2,975491,24866413
4,100000,1400,3,1301686,36182829
4,100000,1400,4,1626719,46684234
4,100000,1500,0,328146,8699787
4,100000,1500,1,652960,17281252
4,100000,1500,2,977124,24765170
4,100000,1500,3,1299824,32640265
4,100000,1500,4,1627209,40670496
4,100000,1600,0,329694,8408623
4,100000,1600,1,654701,16424740
4,100000,1600,2,979478,25004740
4,100000,1600,3,1302577,32675276
4,100000,1600,4,1629100,41339663
4,100000,1700,0,328515,8271599
4,100000,1700,1,653305,16516323
4,100000,1700,2,975939,25792805
4,100000,1700,3,1301941,32371919
4,100000,1700,4,1625815,39577238
4,100000,1800,0,330594,8062479
4,100000,1800,1,655316,16007460
4,100000,1800,2,980471,23970885
4,100000,1800,3,1305588,32185220
4,100000,1800,4,1629114,39654829
4,100000,1900,0,330919,9387808
4,100000,1900,1,654238,18724484
4,100000,1900,2,981025,25154767
4,100000,1900,3,1305878,33468817
4,100000,1900,4,1629138,42134337
4,100000,2000,0,330786,8773006
4,100000,2000,1,654097,17102023
4,100000,2000,2,979767,25339877
4,100000,2000,3,1303768,33831769
4,100000,2000,4,1628335,41079157
4,100000,2100,0,331177,8491795
4,100000,2100,1,656367,18098186
4,100000,2100,2,955188,30301151
4,100000,2100,3,1232132,30718564
4,100000,2100,4,1531641,37620747
4,100000,2200,0,331361,8961495
4,100000,2200,1,656226,17219653
4,100000,2200,2,981128,25721959
4,100000,2200,3,1304321,34284660
4,100000,2200,4,1630124,42786001
4,100000,2300,0,331795,8772169
4,100000,2300,1,656587,17577557
4,100000,2300,2,980293,25797516
4,100000,2300,3,1306640,33911081
4,100000,2300,4,1631439,47771942
4,100000,2400,0,332070,8652369
4,100000,2400,1,656955,17570695
4,100000,2400,2,981438,25161655
4,100000,2400,3,1305446,33915444
4,100000,2400,4,1629551,42017022
4,100000,2500,0,332395,8723088
4,100000,2500,1,657271,17113929
4,100000,2500,2,982826,25223344
4,100000,2500,3,1305804,33286548
4,100000,2500,4,1630114,43410927
4,100000,2600,0,332678,8469868
4,100000,2600,1,657483,16871757
4,100000,2600,2,982778,25073776
4,100000,2600,3,1305827,34785853
4,100000,2600,4,1632983,41907228
4,100000,2700,0,333289,10450679
4,100000,2700,1,656934,21344683
4,100000,2700,2,981179,26914611
4,100000,2700,3,1308339,35088963
4,100000,2700,4,1631085,42255789
4,100000,2800,0,333296,8819076
4,100000,2800,1,656610,18157506
4,100000,2800,2,981272,30343703
